CMDLINE C:\Users\maugh24\AppData\Local\miniconda3\envs\Hydroinformatics\python.exe .\Run_Model.py
MEM 1.753906 1774901847.1261
MEM 23.613281 1774901847.2266
MEM 37.046875 1774901847.3270
MEM 62.261719 1774901847.4271
MEM 76.410156 1774901847.5275
MEM 89.648438 1774901847.6280
MEM 100.199219 1774901847.7282
MEM 116.281250 1774901847.8284
MEM 124.300781 1774901847.9285
MEM 131.890625 1774901848.0290
MEM 138.109375 1774901848.1294
MEM 141.765625 1774901848.2297
MEM 151.976562 1774901848.3301
MEM 244.531250 1774901848.4307
MEM 380.332031 1774901848.5313
MEM 439.316406 1774901848.6318
MEM 478.160156 1774901848.7323
MEM 535.265625 1774901848.8328
MEM 691.730469 1774901848.9334
MEM 622.195312 1774901849.0338
MEM 682.976562 1774901849.1343
MEM 726.003906 1774901849.2348
MEM 311.718750 1774901849.3350
MEM 763.652344 1774901849.4353
MEM 765.953125 1774901849.5359
MEM 676.910156 1774901849.6363
MEM 850.687500 1774901849.7369
MEM 1044.695312 1774901849.8372
MEM 1346.226562 1774901849.9377
MEM 1298.550781 1774901850.0381
MEM 1440.816406 1774901850.1390
MEM 1440.816406 1774901850.2393
MEM 1440.816406 1774901850.3400
MEM 1440.816406 1774901850.4404
MEM 1440.816406 1774901850.5408
MEM 1331.988281 1774901850.6411
MEM 1193.593750 1774901850.7416
MEM 1105.617188 1774901850.8420
MEM 1010.019531 1774901850.9422
MEM 603.546875 1774901851.0428
MEM 670.640625 1774901851.1434
MEM 637.574219 1774901851.2436
MEM 621.906250 1774901851.3439
MEM 975.261719 1774901851.4443
MEM 1504.128906 1774901851.5449
MEM 1532.652344 1774901851.6454
MEM 1532.675781 1774901851.7458
MEM 1193.144531 1774901851.8463
MEM 1353.765625 1774901851.9468
MEM 1520.570312 1774901852.0474
MEM 1686.707031 1774901852.1479
MEM 1846.769531 1774901852.2484
MEM 1997.167969 1774901852.3486
MEM 2247.773438 1774901852.4488
MEM 2477.945312 1774901852.5493
MEM 2747.531250 1774901852.6498
MEM 3183.980469 1774901852.7503
MEM 2613.003906 1774901852.8508
MEM 2928.292969 1774901852.9513
MEM 2928.292969 1774901853.0519
MEM 2928.292969 1774901853.1522
MEM 2928.292969 1774901853.2525
MEM 2928.292969 1774901853.3528
MEM 2928.292969 1774901853.4532
MEM 2928.292969 1774901853.5535
MEM 2928.292969 1774901853.6679
